,store_name,street_address,postal_code,cluster,lat,long
2025,The Clothing Recycler - Cash For Clothes,1-25 Portland Street,M8Y 1A6,6,43.6075,-79.5013
2026,Casual Affairs Clothing,2873 Bloor St W,M8X 1B3,6,43.6325,-79.4939
2027,Apolline Womens Wear&amp;Footloose Dance Wear,2892 Bloor St W,M8X 1B5,6,43.6518,-79.5076
2028,Grenview's On Bloor,2893 Bloor St W,M8X 1B3,6,43.6518,-79.5076
2029,Bargain Joint,386 Royal York Rd,M8Y 2R3,6,43.6518,-79.5076
2030,Proud Nation Clothing &amp; Apparel,Milne Ave,M1L,14,43.6325,-79.4939
2031,Tarn's Styling Studio,182 Royal York Rd.,M8V 2V6,6,43.7122,-79.2843
2032,Laura's Shoppe Canada,70 Eglinton Sq,M1L 2K1,14,43.6075,-79.5013
2033,Society,1 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2034,Kook Look,1 Eglinton Square,M1L 2K1,14,43.7122,-79.2843
2035,Lindor Inc,67 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2036,Bluenotes,1 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2037,Tan Jay,1 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2038,Laura's Shoppe Canada,70 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2039,Le Var Fashions,70 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2040,Pockets,70 Eglinton Sq,M1L 2K1,14,43.7122,-79.2843
2041,Pennington's Wearhouse Stores,773 The Queensway,M8Z 6A9,6,43.7122,-79.2843
2042,Northern Reflections,1 Eglinton Sq,M1L 2K1,14,43.6256,-79.5231
2043,Wearhouse by Silkeborg The,2989 Bloor St W,M8X 1C1,6,43.7122,-79.2843
2044,JONES APPAREL GROUP CANADA INC,4195 Dundas St W,M8X 1Y4,6,43.6518,-79.5076
2045,Joe Fresh,1880 Eglinton Ave E,M1L 2L1,14,43.6518,-79.5076
2046,B &amp; B Childresn Clothing Outlet Ltd,725 Av Warden,M1L 4R7,14,43.7122,-79.2843
2047,5 Axis Dental,465 Wilson Ave,M3H 1T9,2,43.7122,-79.2843
2048,Fashion Go-Round The,6 Brentwood Rd S,M8Z 3N2,6,43.7535,-79.4472
2049,Vesh &amp; Grand Palace,380 Birchmount Rd,M1K 1M6,14,43.6256,-79.5231
2050,Colours Exchange,3 Brentwood Rd N,M8X 2B6,6,43.7298,-79.2639
2051,Addition-Elle,6 Lebovic Ave,M1L 4V9,14,43.6518,-79.5076
2052,Addition-Elle,6 Lebovic Ave,M1L 4V9,14,43.7122,-79.2843
2053,Taissa Inc,3074 Bloor St W,M8X 1C8,6,43.7122,-79.2843
2054,Winners 264,1900 Eglinton Ave E,M1L 2L9,14,43.6518,-79.5076
2055,Roots Eglinton Power Center Outlet,1901 Eglinton Ave E,M1L 2L1,14,43.7122,-79.2843
2056,Cleo,1900 Eglinton Ave E,M1L 2L9,14,43.7122,-79.2843
2057,Reitmans,1900 Eglinton Ave E,M1L 2L8,14,43.7122,-79.2843
2058,Château (Le),1900 Eglinton Ave E,M1L 2L9,14,43.7122,-79.2843
2059,The Children's Place,1900 Eglinton Ave E,M1L 2L9,14,43.7122,-79.2843
2060,Carter's OshKosh,1900 Eglinton Ave E,M1L 2L9,14,43.7122,-79.2843
2061,Pennington's,800 Warden Ave,M1L 4T7,14,43.7122,-79.2843
2062,Tristan &amp; America,6 Lebovic Ave,M1L 4V9,14,43.7122,-79.2843
2063,Old Navy,6 Lebovic Ave,M1L 4V9,14,43.7122,-79.2843
2064,Reitmans Canada Limited,814 Warden Ave,M1L 4W1,14,43.7122,-79.2843
2065,Everbest Enterprizes Inc,630 Av Wilson,M3K 1E1,2,43.7122,-79.2843
2066,Mark's Work Wearhouse,816 Warden Ave,M1L 4W1,14,43.739,-79.4692
2067,West 49,816 Warden Ave,M1L 4W1,14,43.7122,-79.2843
2068,Everbest Enterprises,630 Wilson Ave,M3K 1E1,2,43.7122,-79.2843
2069,International Clothiers Inc,1920 Eglinton Ave E,M1L 2L9,14,43.739,-79.4692
2070,Roman Men's Clothier,10 Regent Rd,M3K 1G9,2,43.7122,-79.2843
2071,Fancy Boutique,2853 Lake Shore Blvd W,M8V 1H8,6,43.739,-79.4692
2072,Maya's Secret,2867 Lake Shore Blvd W,M8V 1H8,6,43.6075,-79.5013
2073,CPAP Direct Ltd,845 Wilson Ave,M3K 1E6,2,43.6075,-79.5013
2074,Cottage On Humber,270 The Kingsway,M9A 3T7,6,43.739,-79.4692
2075,Genesis Fashion &amp; Design,116 Manville Rd,M1L 4J5,14,43.6662,-79.5282
2076,The Wearhouse,222 Islington Ave,M8V 3W7,6,43.7122,-79.2843
2077,T.O. Wholesale Co.,288 Judson Street. Suite #14,M8Z 5T6,6,43.6075,-79.5013
2078,Savic's Fashions,946 Wilson Ave,M3K 1E7,2,43.6256,-79.5231
2079,Pape Enterprises Ltd,258 Raleigh Ave,M1K 1A8,14,43.739,-79.4692
2080,Coats by Mary Ellen Leather Repairs Division,951 Wilson Ave ,M3K 2A7,2,43.7298,-79.2639
2081,Soccer International J S Inc,221 Evans Ave,M8Z 1J5,6,43.739,-79.4692
2082,Meta  Group International Design,173 Kennedy Rd,M1N 3P1,14,43.6256,-79.5231
2083,G &amp; K SERVICES,940 Warden Ave,M1L 4C9,14,43.6952,-79.2646
2084,A-1 Saftey Glasses,1017 Wilson Ave,M3K 1Z1,2,43.7122,-79.2843
2085,Avda Limited,35 Jutland Rd,M8Z 2G6,6,43.739,-79.4692
2086,Station Inc,337 Evans Ave,M8Z 1K2,6,43.6256,-79.5231
2087,Mondiale Imports,30 Bertrand Ave,M1L 2P5,14,43.6256,-79.5231
2088,Particle Control Inc,30 Bertrand Ave,M1L 2P5,14,43.7122,-79.2843
2089,Mondiale Imports,30 Bertrand Ave,M1L 2P5,14,43.7122,-79.2843
2090,Mariella's For Fashion,4943 Dundas St W,M9A 1B6,6,43.7122,-79.2843
2091,Bila Me Corp,51 Harrison Garden Blvd,M2N 7G4,2,43.6662,-79.5282
2092,Club Manato,1255 The Queensway,M8Z 1S1,6,43.7673,-79.4111
2093,Danas Inc,28 Six Point Rd,M8Z 2W9,6,43.6256,-79.5231
2094,Astro Screen Printing,22 Torlake Cres,M8Z 1B3,6,43.6256,-79.5231
2095,Joy Fashions,1989 Lawrence Ave E,M1R 2Z2,18,43.6256,-79.5231
2096,Fire Services Management,34 Torlake Cres,M8Z 1B3,6,43.7507,-79.3003
2097,2413310 Ontario Ltd,102 Crockford Blvd,M1R 3C3,18,43.6256,-79.5231
2098,Talent Map,45 Sheppard Ave E,M2N 5W9,2,43.7507,-79.3003
2099,Rider Canada,1402-2560 KINGSTON ROAD,M1M 1L8,14,43.7673,-79.4111
2100,SKT Jewellers&amp;Textiles,2062 Lawrence Ave E,M1R 2Z5,18,43.7247,-79.2312
2101,Into Fashions,4841 Yonge St,M2N 5X2,2,43.7507,-79.3003
2102,Reitmans 1020,4841 Yonge St,M2N 5X2,2,43.7673,-79.4111
2103,The Fuller Woman Inc,5230 Dundas St W,M9B 1A8,6,43.7673,-79.4111
2104,Ver Plus Size,2086 Lawrence Ave E,M1R 2Z5,18,43.6505,-79.5517
2105,Isra Imports &amp; Exports,2088A Lawrence Ave E,M1R 2Z5,18,43.7507,-79.3003
2106,Bayview Village Fashion Outlet,326 Sheppard Ave E,M2N 3B4,2,43.7507,-79.3003
2107,Winners Apparel Ltd,4841 Yonge St,M2N 5X2,2,43.7673,-79.4111
2108,Original Heck Clothing Co,4415 Bathurst St,M3H 3S1,2,43.7673,-79.4111
2109,Garage Clothing Co The Holt Renfrew &amp; Co Limited,326 Sheppard Ave E,M2N 3B4,2,43.7535,-79.4472
2110,Bayview Village Fashion Outlet,326 Sheppard Ave E,M2N 3B4,2,43.7673,-79.4111
2111,Godsway Clothing Inc,2111 Jane St,M3M 1A2,2,43.7673,-79.4111
2112,Rococo,22,M4T 2S3,12,43.7319,-79.4928
2113,Fine Clothing Ltd,1470 The Queensway,M8Z 1T5,6,43.6899,-79.3853
