Gasoline stations  [447],"5,479A","5,324B","5,358A","5,403A","5,606A","5,581A","5,614A","5,519A","5,522B","5,696B","5,503B","5,425B","5,476B","5,445B","5,519B","5,457B","5,598B","5,617B","5,564B","5,681B","5,614B","5,622B","5,618B","5,378B","5,430B","5,344B","5,250B"
Clothing and clothing accessories stores  [448],"2,738A","2,789A","2,831A","2,771A","2,864A","2,838A","2,891A","2,877A","2,861A","2,837A","2,850A","2,829A","2,843A","2,791A","2,904A","2,869A","2,774A","2,912A","2,858A","2,865A","2,830A","2,829A","2,790A","2,838A","2,798A","2,784B","1,351C"
Clothing stores  [4481],"2,127A","2,182A","2,200A","2,173A","2,225A","2,202A","2,248A","2,256A","2,243A","2,210A","2,214A","2,225A","2,256A","2,181A","2,268A","2,248A","2,168A","2,291A","2,255A","2,238A","2,210A","2,211A","2,182A","2,218A","2,196A","2,186B","1,045C"
Shoe stores  [4482],334A,343A,346A,333A,352A,350A,353A,348A,336A,345A,354A,345A,339A,327A,341A,329A,326A,344B,331A,345A,347A,331A,330A,337A,316A,316A,156B
"Jewellery, luggage and leather goods stores  [4483]",277A,265A,285A,265A,287A,286A,290A,273A,282A,282A,282A,259A,249A,282A,295A,293A,280A,278A,273A,283A,273A,287A,278A,283A,286A,282B,151B
"Sporting goods, hobby, book and music stores  [451]","1,037A","1,044A","1,023A","1,015A","1,033A","1,020A","1,023A","1,035A","1,024A","1,022A","1,014A","1,007A","1,012A","1,005A","1,003A","1,016A",996A,"1,018A","1,010A","1,003A",991A,977A,963A,982A,968A,"1,028A",787B
General merchandise stores  [452],"5,425A","5,474A","5,526A","5,403A","5,605A","5,599A","5,588A","5,600A","5,704A","5,598A","5,680A","5,735A","5,511A","5,692A","5,714A","5,709A","5,633A","5,810A","5,736A","5,779A","5,774A","5,762A","5,785A","5,773A","5,724A","5,835B","6,227B"
Department stores  [4521],x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Other general merchandise stores  [4529],x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Miscellaneous store retailers  [453],"1,133A","1,179A","1,191A","1,176A","1,205A","1,197A","1,221A","1,216A","1,184A","1,251A","1,244A","1,231A","1,262A","1,226A","1,245B","1,262A","1,279A","1,307A","1,328A","1,326B","1,329B","1,318A","1,337A","1,375B","1,403B","1,345A","1,344B"
Cannabis stores  [453993]3,..,..,..,..,..,..,..,..,..,42C,54B,58A,54A,49A,54A,67B,79A,86A,98A,114A,112A,118A,124A,146A,154A,152A,181A
